Building ID,Building Names,Street Address,City,State,Zip Code,Place Type,Square Footage,Commercial Square Footage,Residential Square Footage,Mixed Use,Parking Spaces,Parking Spaces Off Street
121,Southlake Tower,1501 Alice St,Oakland,CA,94612,Regional Center,86000,0,86000,No,28,28
122,The Oaks Apartment,3073 N.Main Street,Walnut Creek,CA,94597,Local Neighborhood,45994,15394,30600,No,54,54
150,Gish Apartments,35 E Gish Road,San Jose,CA,95112,Regional Center,71470,34310,37160,Yes,39,54
151,Murphy Ranch Townhouses,310 E. Dunne Ave,Morgan Hill,Ca.,95037,Local Neighborhood,143382,23362,120020,No,257,257
152,Casa Feliz Studios,525 South 9th Street,San Jose,CA,95112,City Center,36150,19950,16200,No,22,22
153,Fourth Street Apartments,1460 N 4th St,San Jose,CA,95112,Regional Center,159264,78306,80958,No,115,115
154,Craig Gardens Senior Housing,2560 South Bascom Avenue,Campbell,CA,95008,Mixed-Use Corridor,66433,17890,48543,No,63,63
155,Curtner Studios,701 Curtner Ave,San Jose,CA,95125,Transit Town Center,53400,16229,37171,No,83,83
156,El Paseo Studios,4980 Hamilton Avenue,San Jose,CA,95130,Suburban Center,59689,32104,27585,No,50,50
157,Paula Apartments,801 Paula Street,San Jose,Ca.,95126,Mixed-Use Corridor,19950,1914,18036,No,37,37
158,Troy Apartments,714 S Almaden Ave,San Jose,ca,95110,City Center,23717,2173,21544,No,40,40
159,Betty Anne Gardens/ Creekview Inn,945 Lundy Ave,San Jose,CA,95133,Transit Neighborhood,91033,22635,68398,No,136,136
161,Guadalupe Apartments,76 Duane St,San Jose,Ca,95110,Local Neighborhood,19340,11613,7727,No,38,38
162,Orchard Gardens Apt.,245-251 W. Weddell Dr.,Sunnyvale,CA,94089,City Center,47250,838,46412,No,101,101
163,Rincon de Los Esteros Apartments,1780 Oakland Road,San Jose,CA,95131,Regional Center,231568,4100,227468,No,449,449
201,Vendome Apartments,750 Miller Street,San Jose,CA,95110,City Center,75000,0,75000,No,109,109
202,Hismen Hin-Nu Terrace,2555 International Blvd.,Oakland,CA,94601,Urban Neighborhood,139820,39864,99956,Yes,83,83
203,Seven Directions Apartments,2946 International Blvd.,Oakland,CA,94607,Urban Neighborhood,81175,27327,53848,Yes,40,40
204,Lion Creek Crossings,881 69th Avenue,Oakland,CA,94621,Transit Town Center,455000,15000,440000,Yes,415,439
205,Drasnin Manor,2530 International Blvd.,Oakland,CA,94601,Urban Neighborhood,34556,7877,26679,Yes,28,28
206,Fox Courts,550 18th Street,Oakland,CA,94612,Regional Center,145026,46054,98972,Yes,64,75
207,Oxford Plaza,2175 Kittredge Street,Berkeley,CA,94704,City Center,109000,8500,100500,Yes,40,40
208,The Park Alameda,2428 Central Ave,Alameda,CA,94501,Local Neighborhood,57058,12692,44366,No,42,42
210,Station Center,34888 11th Street,Union City,CA,94587,City Center,215340,0,-,Yes,157,155
211,Ironhorse at Central Station,1801 14th Street,Oakland,CA,94607,Transit Town Center,153395,0,153395,No,109,109
212,Coggins Square Apartments,1316 Las Juntas Way,Contra Costa Centre,CA,94597,Mixed-Use Corridor,129000,60315,68685,No,116,116
213,Armstrong Place Senior Housing,5600 3rd Street,San Francisco,CA,94124,Urban Neighborhood,131000,61146,69854,Yes,29,31
214,Delaware Pacific,1990 S. Delaware St.,San Mateo,CA,94403,Transit Neighborhood,151632,0,-,No,89,103
215,Aster Park,1059 Reed Avenue,Sunnyvale,CA,94086,Transit Neighborhood,-,0,98836,No,149,149
216,Edith Witt Senior Community,66 9th St,San Francisco,CA,94103,Urban Neighborhood,95000,47240,47760,No,7,7
217,Columbia Park Apts,21 Columbia Square,San Francisco,CA,94103,Regional Center,78620,0,-,No,50,50
218,111 Jones Street,111 Jones St,San Francisco,CA,94102,Regional Center,127325,49375,77950,No,35,35
219,The Village at Willow Glen,465 Willow Glen Way,San Jose,CA,95125,Local Neighborhood,-,0,-,No,119,119
220,Las Bougainvilleas Senior Housing,1223 37th Avenue,Oakland,CA,94601,Urban Neighborhood,59600,25082,34518,No,21,21
221,Jeanne D'Arc Manor/Giovanni Center,85 South Fifth Street,San Jose,CA,95112,Regional Center,120000,30000,90000,Yes,11,19
222,New Californian,1988 Martin Luther King Jr. Way,Berkeley,CA,94704,Mixed-Use Corridor,200000,75000,125000,Yes,155,155
223,The Uptown,500 William Street,Oakland,CA,94612,Regional Center,595242,9015,586227,Yes,531,581
224,Peninsula Station,2901 South El Camino Real,San Mateo,CA,94403,Transit Neighborhood,127718,59868,67850,Yes,106,114
225,Lakeside Apartments,1897 Oakmead Drive,Concord,CA,94520,City Center,96151,1123,95028,No,157,157
226,Broadway Family Apartments,810 Battery Street,San Francisco,CA,94111,Regional Center,122500,56473,66027,Yes,38,38
227,Old Town Square,555 10th Street,Oakland,CA,94607,Regional Center,88000,800,87200,Yes,100,100
228,Arbor Terrace Apartment,555 E El Camino Real,Sunnyvale,CA,94086,Mixed-Use Corridor,133090,0,-,No,359,359
235,Madera Apartments,455 West Evelyn Avenue,Mountain View,CA,94041,Transit Town Center,270169,68579,201590,No,279,313
236,Fruitvale Transit Village,3301/3411 E. 12th Street,Oakland,CA,94601,Urban Neighborhood,189572,137000,52572,Yes,142,142
237,101 San Fernando,"101 E. San Fernando St., Ste. 100",San Jose,CA,95112,Regional Center,195350,28500,166850,Yes,557,557
238,Waterford Place,1700 North 1st St.,San Jose,CA,95112,Regional Center,286760,67118,219642,No,381,390
240,Hillsdale Gardens,3500 Edison St.,San Mateo,CA,94403,Mixed-Use Corridor,611211,0,611211,No,686,686
241,Fox Plaza,1390 Market Street,San Francisco,CA,94102,Urban Neighborhood,-,0,230017,Yes,343,409
242,Esplanade Apartments,350 E. Taylor St,San Jose,CA,95112,City Center,-,0,282381,Yes,412,412
245,Verandas Apartments,33 Union Square,Union City,CA,94587,Local Neighborhood,357704,158552,199152,No,422,422
301,Lawrence Station,1271 Lawrence Station Road,Sunnyvale,CA,94089,Local Neighborhood,72000,10000,62000,Yes,668,668
302,Connolly Station,7550 St Patrick Wy,Dublin,CA,94568,Suburban Center,355861,67937,287924,NO,434,479
303,Via,621 Tasman Dr. ,Sunnyvale,CA,94089,Transit Neighborhood,297089,38751,258338,Yes,457,457
304,Fourth & U,2020 Fourth Street,Berkeley,CA,94710,Mixed-Use Corridor,162149,26000,136149,Yes,205,189
305,Park Place ,851 Church St,Mountain View,CA,94041,Transit Town Center,370000,0,370000,Yes,501,571
307,Avalon at Cahill Park,754 The Alameda,San Jose,CA,95126,City Center,218218,0,,Yes,283,316
308,Belovida at Newbury Park,1777 Newbury Park Drive,San Jose,CA,95133,Transit Neighborhood,141942,0,,NO,163,163
309,Plant 51,88 Bush Street,San Jose,CA,95126,City Center,315000,0,,NO,470,470
310,Hidden Willows Apts,850 Meridian Way,San Jose,CA,95126,Mixed-Use Corridor,44294,0, ,NO,161,164
311,Alterra,1640 La Rossa Circle,San Jose,CA,95125,City Center,38866,0,,NO,239,239
312,Aviara Apartments ,2388 Madden Ave,San Jose,CA,95116,Local Neighborhood,119250,0,,NO,77,77
314,Pacific Park Plaza,6363 Christie Av.,Emeryville,CA,94608,City Center,670000,8000,662000,Yes,907,989
